f1,f2,f3,f4,f5,label
0.3502481437196705,0.8075492388446873,0.8432668119872477,0.7093684862505798,0.6309744259855962,1
0.6181671293797661,0.2814578693832961,0.6481789011580666,0.9263110221390696,0.3497973102761056,0
0.4171604709728351,0.7948485467575389,0.288729838441973,0.6932461821156397,0.4004141875071642,0
0.0408259170264982,0.8583951647476165,0.639587958658344,0.6888696813611372,0.9371434030897096,0
0.4673563651706752,0.9189102616839444,0.7070060815776159,0.1566857158627687,0.1359777861118903,1
0.3513202272864539,0.2052215501437422,0.1393343539561304,0.0723096405080273,0.8641067855326775,0
0.6191026111247397,0.9200892332306286,0.9656383675621316,0.2203661031707824,0.9828374509482314,1
0.9952875649691624,0.3556542855916352,0.8062362063644488,0.0277165095564194,0.4013528738713148,1
0.6981979363341348,0.6882238605842201,0.314550161259249,0.1277291906906874,0.9848348583316562,1
0.5817147317285901,0.4836292668546971,0.5705026177781549,0.3131397910596148,0.7749713377979864,1
0.5696559614052326,0.2102567752710294,0.1521499789177356,0.0639635331869729,0.0126735829986291,0
0.9184042690250808,0.2214996631561085,0.6672747565801014,0.1785723863443755,0.3873450743779301,0
0.8687060352207969,0.8125952258659472,0.4386353459175578,0.786889809793974,0.7866231238603436,0
0.3095974549202577,0.6992028055812796,0.5693253268924111,0.028662871953145,0.8244883431062714,0
0.8917337950892138,0.7593900910895507,0.9793085478385456,0.3211918644426317,0.5650105284111177,1
0.256066585784284,0.3855912837523128,0.0594485026452513,0.7844275165440914,0.884375012865582,0
0.7121658334684835,0.2575016291584312,0.2565859591611839,0.0815025347250921,0.5136011223980388,0
0.2118675802666753,0.9787450564944684,0.0112622152205524,0.5432264978827753,0.4703338920192013,0
0.4396194778579335,0.4142647313665563,0.790027086486285,0.61999917506604,0.7942600768754289,0
0.1529378567954783,0.6230018636109045,0.3757933340697051,0.7195777245454748,0.0432667991365272,0
0.0047423449650578,0.3933653060591142,0.2987495326076081,0.6613952013731557,0.7154503667367065,0
0.1282788612337853,0.5732780475862976,0.8939760131148896,0.2286702081859513,0.7438720824333988,0
0.5200221379773774,0.4876074618141491,0.6845382968624778,0.0266286271602395,0.3955672937859819,1
0.8234747975172939,0.0927462657998298,0.6230663208898555,0.3321254994372874,0.8999264539166322,1
0.9146679411270036,0.6509702512495824,0.8186846784481541,0.4778395090673013,0.2103984883775139,1
0.4022163975040361,0.1653101643216782,0.1110491328589226,0.0193342030758381,0.0257593920622761,0
0.1538500836909673,0.4968919822555422,0.5859998071101458,0.0322152069360499,0.3254121573182348,0
0.6975642065564152,0.5193275361865,0.8818986780830746,0.7777689641223344,0.1252865853104325,1
0.2140332954754459,0.5675783864993997,0.1360644923395466,0.1927862634035131,0.2273215329712055,0
0.3891318150156588,0.8571683270743139,0.4592093655171702,0.1421464741984148,0.9911035683782264,1
0.7569940838023154,0.3411222174650329,0.4216866276214421,0.978822900741215,0.3487681994741487,1
0.0879793357927772,0.0986023033515122,0.9838885578978924,0.0922171539639217,0.1135395928381276,1
0.6448804801014282,0.5226020024706092,0.098460362230444,0.1133699247324154,0.5780266702298562,0
0.1144003872902978,0.3461661923653365,0.2215619580286033,0.6885239597868864,0.6690036803765164,0
0.2740828759238185,0.445955601934861,0.8845129720636404,0.6583711625404367,0.0141921305521444,1
0.8662353591307258,0.3724654556444281,0.9623077604274256,0.8034567947427931,0.2994138510730511,1
0.7891945118672395,0.4481397542206433,0.2565877353699429,0.56591629719769,0.4559992154467283,0
